\(x_1\), \(x_2\), \(x_3\), \(f(x_1)\), \(f(x_2)\), \(f(x_3)\), \(|x_1 - x_2|\)
  1.50000,   1.60000,   1.55000, 6.84e-02, -3.17e-02, 1.83e-02, 1.00e-01
  1.55000,   1.60000,   1.57500, 1.83e-02, -3.17e-02, -6.69e-03, 5.00e-02
  1.55000,   1.57500,   1.56250, 1.83e-02, -6.69e-03, 5.83e-03, 2.50e-02
  1.56250,   1.57500,   1.56875, 5.83e-03, -6.69e-03, -4.30e-04, 1.25e-02
  1.56250,   1.56875,   1.56563, 5.83e-03, -4.30e-04, 2.70e-03, 6.25e-03
  1.56563,   1.56875,   1.56719, 2.70e-03, -4.30e-04, 1.13e-03, 3.13e-03
  1.56719,   1.56875,   1.56797, 1.13e-03, -4.30e-04, 3.52e-04, 1.56e-03
  1.56797,   1.56875,   1.56836, 3.52e-04, -4.30e-04, -3.89e-05, 7.81e-04
  1.56797,   1.56836,   1.56816, 3.52e-04, -3.89e-05, 1.57e-04, 3.91e-04
  1.56816,   1.56836,   1.56826, 1.57e-04, -3.89e-05, 5.89e-05, 1.95e-04
  1.56826,   1.56836,   1.56831, 5.89e-05, -3.89e-05, 9.99e-06, 9.77e-05
  1.56831,   1.56836,   1.56833, 9.99e-06, -3.89e-05, -1.45e-05, 4.88e-05
  1.56831,   1.56833,   1.56832, 9.99e-06, -1.45e-05, -2.23e-06, 2.44e-05
  1.56831,   1.56832,   1.56832, 9.99e-06, -2.23e-06, 3.88e-06, 1.22e-05
  1.56832,   1.56832,   1.56832, 3.88e-06, -2.23e-06, 8.22e-07, 6.10e-06
  1.56832,   1.56832,   1.56832, 8.22e-07, -2.23e-06, -7.07e-07, 3.05e-06
  1.56832,   1.56832,   1.56832, 8.22e-07, -7.07e-07, 5.74e-08, 1.53e-06
  1.56832,   1.56832,   1.56832, 5.74e-08, -7.07e-07, -3.25e-07, 7.63e-07
